,Visitor/Neutral,PTS,Home/Neutral,PTS.1
0,Orlando Magic,122.0,Washington Wizards,101.0
1,Portland Trail Blazers,93.0,New York Knicks,117.0
2,Minnesota Timberwolves,104.0,Milwaukee Bucks,106.0
3,Phoenix Suns,107.0,Los Angeles Lakers,117.0
4,Charlotte Hornets,109.0,Cleveland Cavaliers,106.0
5,Denver Nuggets,124.0,Indiana Pacers,116.0
6,Toronto Raptors,76.0,Miami Heat,84.0
7,Utah Jazz,102.0,Chicago Bulls,98.0
8,Golden State Warriors,84.0,Minnesota Timberwolves,99.0
9,Brooklyn Nets,111.0,Dallas Mavericks,123.0
10,Oklahoma City Thunder,109.0,San Antonio Spurs,103.0
11,Memphis Grizzlies,123.0,Sacramento Kings,128.0
12,Detroit Pistons,112.0,Los Angeles Clippers,126.0
13,Atlanta Hawks,106.0,Boston Celtics,109.0
14,Miami Heat,85.0,Orlando Magic,105.0
15,Portland Trail Blazers,122.0,Washington Wizards,103.0
16,Philadelphia 76ers,108.0,Houston Rockets,118.0
17,New York Knicks,112.0,Phoenix Suns,120.0
18,New Orleans Pelicans,113.0,Los Angeles Lakers,123.0
19,Memphis Grizzlies,140.0,Los Angeles Clippers,114.0
20,Toronto Raptors,121.0,Brooklyn Nets,102.0
21,Utah Jazz,109.0,Orlando Magic,96.0
22,Indiana Pacers,111.0,Atlanta Hawks,116.0
23,Oklahoma City Thunder,121.0,Cleveland Cavaliers,106.0
24,Boston Celtics,111.0,Chicago Bulls,104.0
25,Denver Nuggets,114.0,Washington Wizards,128.0
26,Charlotte Hornets,123.0,Dallas Mavericks,120.0
27,Detroit Pistons,111.0,Golden State Warriors,104.0
28,San Antonio Spurs,118.0,Milwaukee Bucks,127.0
29,New Orleans Pelicans,117.0,Sacramento Kings,115.0
30,New York Knicks,132.0,Los Angeles Clippers,135.0
31,Portland Trail Blazers,111.0,Miami Heat,122.0
32,Minnesota Timberwolves,118.0,Cleveland Cavaliers,103.0
33,Memphis Grizzlies,121.0,Phoenix Suns,114.0
34,Detroit Pistons,99.0,Los Angeles Lakers,106.0
35,Indiana Pacers,115.0,Charlotte Hornets,104.0
36,Brooklyn Nets,89.0,Orlando Magic,101.0
37,Oklahoma City Thunder,113.0,Philadelphia 76ers,120.0
38,Boston Celtics,94.0,Washington Wizards,99.0
39,Denver Nuggets,123.0,Atlanta Hawks,115.0
40,Utah Jazz,128.0,New Orleans Pelicans,126.0
41,Chicago Bulls,110.0,Dallas Mavericks,118.0
42,Milwaukee Bucks,104.0,San Antonio Spurs,126.0
43,Golden State Warriors,98.0,Sacramento Kings,111.0
