,Rk,Unnamed: 1,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1,Trae Young,21,60,60,2120,9.3,21.2,0.43700000000000006,3.5,9.6,0.361,5.8,11.6,0.501,8.2,9.5,0.86,0.5,3.8,4.3,9.5,1.1,0.1,4.9,1.8,30.2
1,2,De'Andre Hunter,22,63,62,2018,5.0,12.2,0.41,1.9,5.4,0.355,3.1,6.8,0.45399999999999996,2.0,2.6,0.764,0.8,4.3,5.1,2.0,0.8,0.3,1.8,3.2,13.9
2,3,Kevin Huerter,21,56,48,1760,5.2,12.5,0.413,2.6,6.8,0.38,2.6,5.6,0.45299999999999996,1.1,1.3,0.828,0.7,3.9,4.7,4.4,1.0,0.6,1.8,2.8,14.0
0,1,Joe Harris,28,69,69,2123,6.5,13.3,0.486,2.9,6.9,0.424,3.5,6.4,0.5529999999999999,1.1,1.5,0.7190000000000001,1.1,4.0,5.1,2.4,0.7,0.3,1.8,2.7,16.9
1,2,Spencer Dinwiddie,26,64,49,1994,7.7,18.4,0.415,2.2,7.2,0.308,5.4,11.2,0.485,6.3,8.1,0.778,0.6,3.4,4.0,7.8,0.7,0.4,3.1,3.2,23.8
2,3,Taurean Prince,25,64,61,1857,5.4,14.3,0.376,2.8,8.4,0.33899999999999997,2.6,6.0,0.429,1.4,1.7,0.7979999999999999,1.0,6.4,7.4,2.2,1.1,0.5,2.5,3.1,15.0
0,1,Jayson Tatum,21,66,66,2265,8.8,19.5,0.45,3.0,7.5,0.40299999999999997,5.8,12.0,0.48,4.0,5.0,0.812,1.0,6.3,7.3,3.2,1.5,0.9,2.5,2.2,24.6
1,2,Jaylen Brown,23,57,57,1934,7.9,16.5,0.48100000000000004,2.4,6.3,0.382,5.5,10.2,0.5429999999999999,3.3,4.5,0.7240000000000001,1.2,5.6,6.8,2.2,1.2,0.4,2.3,3.1,21.6
2,3,Marcus Smart,25,60,40,1919,4.8,12.8,0.375,2.6,7.4,0.34700000000000003,2.2,5.4,0.415,2.4,2.9,0.836,0.8,3.4,4.2,5.5,1.9,0.5,1.9,3.0,14.6
0,1,Devonte' Graham,24,63,53,2211,6.0,15.7,0.382,3.5,9.5,0.373,2.4,6.2,0.397,3.1,3.8,0.82,0.7,2.8,3.5,7.7,1.0,0.2,2.9,1.9,18.6
1,2,Terry Rozier,25,63,63,2164,6.6,15.7,0.423,2.9,7.0,0.40700000000000003,3.8,8.6,0.436,2.8,3.2,0.8740000000000001,0.8,3.8,4.6,4.3,1.0,0.2,2.3,2.1,18.9
2,3,Miles Bridges,21,65,64,1995,5.8,13.6,0.424,1.8,5.4,0.33,4.0,8.2,0.486,1.9,2.4,0.809,1.6,4.9,6.5,2.1,0.7,0.9,1.7,2.4,15.2
0,1,Zach LaVine,24,60,60,2085,9.3,20.7,0.45,3.2,8.4,0.38,6.1,12.3,0.49700000000000005,4.6,5.8,0.802,0.7,4.3,5.0,4.4,1.5,0.5,3.6,2.3,26.4
1,2,Tomáš Satoranský,28,65,64,1878,4.5,10.6,0.43,1.2,3.8,0.322,3.3,6.7,0.491,2.0,2.3,0.8759999999999999,1.5,3.4,4.9,6.8,1.5,0.1,2.5,2.6,12.3
2,3,Coby White,19,65,1,1674,6.7,17.0,0.39399999999999996,2.9,8.1,0.354,3.8,8.9,0.43,2.2,2.8,0.7909999999999999,0.6,4.3,4.9,3.8,1.1,0.1,2.3,2.5,18.5
0,1,Collin Sexton,21,65,65,2143,8.6,18.2,0.47200000000000003,1.6,4.3,0.38,7.0,14.0,0.501,3.8,4.5,0.846,1.0,2.4,3.4,3.2,1.1,0.1,2.7,2.4,22.7
1,2,Cedi Osman,24,65,65,1910,5.0,11.5,0.43700000000000006,2.3,6.1,0.38299999999999995,2.7,5.4,0.49700000000000005,1.2,1.8,0.67,0.7,3.6,4.4,2.9,1.0,0.3,1.7,3.0,13.5
2,3,Darius Garland,20,59,59,1824,5.5,13.8,0.401,2.1,5.8,0.355,3.5,8.0,0.434,1.2,1.4,0.875,0.5,1.7,2.2,4.5,0.8,0.1,3.0,1.8,14.4
0,1,Dorian Finney-Smith,26,71,68,2120,4.1,8.9,0.466,1.9,5.1,0.376,2.2,3.7,0.589,1.3,1.8,0.722,2.5,4.4,6.9,1.9,0.8,0.7,1.2,3.0,11.5
1,2,Tim Hardaway,27,71,58,2091,6.6,15.2,0.434,3.5,8.8,0.39799999999999996,3.1,6.4,0.485,2.6,3.1,0.8190000000000001,0.4,3.6,4.0,2.4,0.7,0.1,1.2,2.2,19.3
2,3,Luka Dončić,20,61,61,2047,10.2,22.1,0.46299999999999997,3.0,9.5,0.316,7.2,12.6,0.574,7.5,9.9,0.758,1.4,8.7,10.1,9.5,1.1,0.2,4.6,2.7,30.9
0,1,Nikola Jokić,24,73,73,2336,8.7,16.5,0.528,1.2,3.9,0.314,7.5,12.6,0.594,3.8,4.6,0.8170000000000001,2.6,8.4,11.0,7.9,1.3,0.7,3.5,3.4,22.4
1,2,Will Barton,29,58,58,1916,6.2,13.9,0.45,2.0,5.4,0.375,4.2,8.5,0.498,1.9,2.5,0.767,1.4,5.4,6.9,4.0,1.1,0.5,1.7,2.3,16.4
2,3,Jamal Murray,22,59,59,1904,7.7,16.9,0.456,2.1,6.1,0.34600000000000003,5.6,10.8,0.519,3.1,3.5,0.8809999999999999,0.9,3.6,4.5,5.4,1.3,0.3,2.4,1.9,20.6
0,1,Langston Galloway,28,66,6,1702,5.0,11.5,0.435,2.8,7.0,0.39899999999999997,2.2,4.5,0.493,1.5,1.8,0.8590000000000001,0.7,2.5,3.2,2.1,1.0,0.2,0.8,2.0,14.3
1,2,Andre Drummond,26,49,48,1654,7.8,14.8,0.53,0.0,0.5,0.048,7.8,14.3,0.546,3.2,5.6,0.584,4.9,11.9,16.9,3.0,2.1,1.8,3.8,3.8,18.9
2,3,Tony Snell,28,59,57,1641,3.7,8.4,0.445,2.2,5.6,0.402,1.5,2.8,0.531,0.7,0.7,1.0,0.2,2.2,2.4,2.8,0.7,0.3,0.7,2.2,10.4
0,1,Eric Paschall,23,60,26,1654,6.9,13.9,0.49700000000000005,0.8,2.8,0.287,6.1,11.1,0.55,3.6,4.6,0.774,1.8,4.2,6.0,2.8,0.7,0.3,2.0,2.7,18.2
1,2,Glenn Robinson,26,48,48,1516,5.8,12.0,0.48100000000000004,1.6,4.0,0.4,4.2,8.0,0.522,1.5,1.8,0.851,1.6,3.8,5.4,2.0,1.1,0.3,1.2,1.9,14.7
2,3,Damion Lee,27,49,36,1423,5.4,12.9,0.41700000000000004,2.2,6.0,0.35600000000000004,3.2,6.9,0.47100000000000003,2.8,3.2,0.873,0.8,5.2,6.0,3.4,1.3,0.2,1.7,2.9,15.7
0,1,James Harden,30,68,68,2483,9.7,22.0,0.444,4.3,12.2,0.355,5.4,9.7,0.556,10.0,11.6,0.865,1.0,5.5,6.5,7.4,1.8,0.9,4.5,3.3,33.9
1,2,P.J. Tucker,34,72,72,2467,2.6,6.2,0.415,1.6,4.4,0.358,1.0,1.9,0.551,0.6,0.7,0.813,1.6,5.3,6.9,1.7,1.1,0.5,1.1,3.3,7.3
2,3,Russell Westbrook,31,57,57,2049,10.6,22.5,0.47200000000000003,1.0,3.7,0.258,9.6,18.8,0.514,5.1,6.7,0.763,1.8,6.2,7.9,7.0,1.6,0.4,4.5,3.5,27.3
0,1,T.J. Warren,26,67,67,2202,8.7,16.3,0.536,1.5,3.7,0.40299999999999997,7.2,12.6,0.575,2.7,3.3,0.8190000000000001,1.1,3.5,4.6,1.6,1.3,0.6,1.4,3.1,21.7
