,Unnamed: 1,FG%,3P%,2P%,FT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team
0,Trae Young,0.4370000000000001,0.361,0.501,8.2,0.5,3.8,4.3,9.5,1.1,0.1,4.9,1.8,30.2,ATL
1,De'Andre Hunter,0.41,0.355,0.454,2.0,0.8,4.3,5.1,2.0,0.8,0.3,1.8,3.2,13.9,ATL
2,Kevin Huerter,0.413,0.38,0.453,1.1,0.7,3.9,4.7,4.4,1.0,0.6,1.8,2.8,14.0,ATL
3,Joe Harris,0.486,0.424,0.5529999999999999,1.1,1.1,4.0,5.1,2.4,0.7,0.3,1.8,2.7,16.9,BRK
4,Spencer Dinwiddie,0.415,0.308,0.485,6.3,0.6,3.4,4.0,7.8,0.7,0.4,3.1,3.2,23.8,BRK
5,Taurean Prince,0.376,0.339,0.429,1.4,1.0,6.4,7.4,2.2,1.1,0.5,2.5,3.1,15.0,BRK
6,Jayson Tatum,0.45,0.403,0.48,4.0,1.0,6.3,7.3,3.2,1.5,0.9,2.5,2.2,24.6,BOS
7,Jaylen Brown,0.481,0.382,0.5429999999999999,3.3,1.2,5.6,6.8,2.2,1.2,0.4,2.3,3.1,21.6,BOS
8,Marcus Smart,0.375,0.34700000000000003,0.415,2.4,0.8,3.4,4.2,5.5,1.9,0.5,1.9,3.0,14.6,BOS
9,Devonte' Graham,0.382,0.373,0.397,3.1,0.7,2.8,3.5,7.7,1.0,0.2,2.9,1.9,18.6,CHO
10,Terry Rozier,0.423,0.407,0.436,2.8,0.8,3.8,4.6,4.3,1.0,0.2,2.3,2.1,18.9,CHO
11,Miles Bridges,0.424,0.33,0.486,1.9,1.6,4.9,6.5,2.1,0.7,0.9,1.7,2.4,15.2,CHO
12,Zach LaVine,0.45,0.38,0.4970000000000001,4.6,0.7,4.3,5.0,4.4,1.5,0.5,3.6,2.3,26.4,CHI
13,Tomáš Satoranský,0.43,0.322,0.491,2.0,1.5,3.4,4.9,6.8,1.5,0.1,2.5,2.6,12.3,CHI
14,Coby White,0.394,0.354,0.43,2.2,0.6,4.3,4.9,3.8,1.1,0.1,2.3,2.5,18.5,CHI
15,Collin Sexton,0.472,0.38,0.501,3.8,1.0,2.4,3.4,3.2,1.1,0.1,2.7,2.4,22.7,CLE
16,Cedi Osman,0.4370000000000001,0.383,0.4970000000000001,1.2,0.7,3.6,4.4,2.9,1.0,0.3,1.7,3.0,13.5,CLE
17,Darius Garland,0.401,0.355,0.434,1.2,0.5,1.7,2.2,4.5,0.8,0.1,3.0,1.8,14.4,CLE
18,Dorian Finney-Smith,0.466,0.376,0.589,1.3,2.5,4.4,6.9,1.9,0.8,0.7,1.2,3.0,11.5,DAL
19,Tim Hardaway,0.434,0.398,0.485,2.6,0.4,3.6,4.0,2.4,0.7,0.1,1.2,2.2,19.3,DAL
20,Luka Dončić,0.463,0.316,0.574,7.5,1.4,8.7,10.1,9.5,1.1,0.2,4.6,2.7,30.9,DAL
21,Nikola Jokić,0.528,0.314,0.594,3.8,2.6,8.4,11.0,7.9,1.3,0.7,3.5,3.4,22.4,DEN
22,Will Barton,0.45,0.375,0.498,1.9,1.4,5.4,6.9,4.0,1.1,0.5,1.7,2.3,16.4,DEN
23,Jamal Murray,0.456,0.34600000000000003,0.519,3.1,0.9,3.6,4.5,5.4,1.3,0.3,2.4,1.9,20.6,DEN
24,Langston Galloway,0.435,0.399,0.493,1.5,0.7,2.5,3.2,2.1,1.0,0.2,0.8,2.0,14.3,DET
25,Andre Drummond,0.53,0.048,0.546,3.2,4.9,11.9,16.9,3.0,2.1,1.8,3.8,3.8,18.9,DET
